auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,best_C
0.8251623885371588,0.1423562326697828,12742,139,0.010908805525035316,0.818295669839828,-4.384654279822619,0.03492487384609959,0.3014418008968003,1,0.01
0.8480765970418144,0.14275736115413712,12742,139,0.010908805525035316,0.9280427116903684,-4.477737777482737,0.034792339620969594,0.3026316359594028,2,10.0
0.8604089354082076,0.14432653221271888,12742,139,0.010908805525035316,0.9792914104880621,-4.5214126224599545,0.034402098515345605,0.30618829017013743,3,0.1
0.8643545302648208,0.14640647525547806,12741,138,0.010831174947021427,0.914743130060975,-4.51087991575939,0.0338914261662805,0.3087533386665621,4,0.1
0.8612056940664001,0.14550531544491438,12741,138,0.010831174947021427,0.9923637302023628,-4.557811673213436,0.03405721621084675,0.3071976057955414,5,0.1
0.8336484181935058,0.14624070356202715,12741,138,0.010831174947021427,0.816326844965586,-4.421690472449202,0.0341705131282473,0.30614313873595833,6,0.01
0.846945614433703,0.14616961741961723,12741,139,0.010909661721999843,0.9330898432456306,-4.490919171971123,0.0343182762098588,0.3069868915689187,7,0.01
0.8604780673160248,0.14272333412993526,12741,139,0.010909661721999843,0.9762895502767722,-4.478994107588246,0.034546261385849236,0.3048889597308163,8,0.1
0.8491780452800116,0.14787611821982868,12741,139,0.010909661721999843,0.7359753520464191,-4.3849516403430835,0.03417837339359589,0.3082881419992282,9,0.01
0.8649646224934036,0.1459990642152241,12741,139,0.010909661721999843,0.9444043087009014,-4.504469098889649,0.034076617807408296,0.30924129291963304,10,0.01
