dimension,framing,framing_label,matched_asymmetry_pp,ci_lower,ci_upper,bootstrap_p,pct_of_baseline,interpretation,n_inspire_test,n_mover_test,notes
baseline,unmatched,"Original direction asymmetry (full cohorts, unmatched)",0.0852951396731119,0.06906403,0.10239782,0.001,100.0,baseline,127413,57545,Reference point for all matched framings
asa_case_mix,match_inspire_casemix,Matched to INSPIRE case-mix (90.4/9.6),0.1731393778523237,0.1251961634295992,0.2160056423005146,0.000999500249875,202.98856243845668,case_mix_is_not_primary_driver,127413,23261,
asa_case_mix,match_mover_casemix,Matched to MOVER case-mix (36.5/63.5),0.1156084941949379,0.0969203771776738,0.1343013309620342,0.000999500249875,135.53936911059634,case_mix_is_not_primary_driver,19329,57545,
asa_case_mix,balanced_50_50,Balanced 50/50 case-mix,0.1089781095422597,0.0903027307128788,0.1290473959412443,0.000999500249875,127.76590783473851,case_mix_is_not_primary_driver,24548,42056,
emergency,emergency_match_mover_prop,INSPIRE matched to MOVER emergency rate (15.6%),0.0600845570803689,0.0425360917232675,0.0792799830371125,0.000999500249875,70.44311939770434,partial_driver,64314,57545,
emergency,emergency_match_inspire_prop,MOVER matched to INSPIRE emergency rate (7.9%),0.0732241540335834,0.0536517811609372,0.0922255142216113,0.000999500249875,85.84797951467132,not_primary_driver,127413,52723,
emergency,emergency_balanced_midpoint,Both matched to midpoint emergency rate (11.75%),0.0715877786951051,0.0525156025392415,0.0902008776439585,0.000999500249875,83.92949348516302,not_primary_driver,85387,55023,
comorbidity,comorbidity_match_mover_prop,INSPIRE matched to MOVER high-VW proportion (56.72%),0.0964508656295905,0.0797597663180617,0.1140420856644341,0.000999500249875,113.07897026633891,not_primary_driver,107247,57545,VW threshold (pooled median) = 1.00
comorbidity,comorbidity_match_inspire_prop,MOVER matched to INSPIRE high-VW proportion (47.75%),0.1076417552002662,0.0895088747531953,0.125162956093405,0.000999500249875,126.19916634499484,not_primary_driver,127413,47658,VW threshold (pooled median) = 1.00
comorbidity,comorbidity_balanced_50_50,Both matched to 50/50 high-VW / low-VW (pooled median split),0.0968069523789292,0.0793195829181403,0.1157948385953988,0.000999500249875,113.49644628045112,not_primary_driver,121670,49806,VW threshold (pooled median) = 1.00
temporal_overlap_2015_2020,temporal_overlap,Restrict both cohorts to 2015–2020 inclusive,,,,,,not_applicable,0,0,"Not runnable: INSPIRE v1.3 distributes timestamps as 'Relative Time' minutes from a shifted reference, so calendar-date overlap matching is not possible with the current INSPIRE release. | status=BLOCKED_inspire_timestamps_anonymised"
