model_name,internal_dataset,external_dataset,feature,mean_abs_shap_internal,mean_abs_shap_external,rank_internal,rank_external,rank_delta,spearman_rho_internal_vs_external
XGB-INS-B,INSPIRE,MOVER,age,0.3416389,0.30478203,3.0,4.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sex,0.13756374,0.12171689,5.0,8.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,height_cm,0.014816168,0.014894725,44.0,54.0,10.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,weight_kg,0.014746692,0.019847339,45.0,44.0,-1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,bmi,0.3537276,0.40873682,2.0,2.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,asa,0.37954688,0.77792317,1.0,1.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,emergency,0.13461389,0.19149908,6.0,6.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,anesthesia_type,0.03668986,0.016949112,22.0,50.0,28.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,department,0.08697761,0.06995523,9.0,12.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,high_asa,0.054303844,0.12110186,15.0,9.0,-6.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,high_asa_emergency,0.014189749,0.032806385,48.0,26.0,-22.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_mean,0.1584559,0.20084193,4.0,5.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_min,0.095696084,0.12071246,8.0,10.0,2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_max,0.0069472813,0.006747757,75.0,81.0,6.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_std,0.02060838,0.02849671,35.0,31.0,-4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_first,0.0072011496,0.005999694,72.0,89.0,17.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_last,0.03293687,0.04159543,25.0,20.0,-5.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,hr_n,0.09966675,0.3330714,7.0,3.0,-4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_mean,0.018273264,0.029581768,39.0,30.0,-9.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_min,0.052193098,0.03825141,16.0,21.0,5.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_max,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_std,0.03456575,0.03313509,24.0,25.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_first,0.0023187182,0.0022799943,102.0,108.0,6.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_last,0.008534792,0.018639607,67.0,46.0,-21.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,spo2_n,0.0024952067,0.0032269652,98.0,101.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_mean,0.026954351,0.029680261,30.0,28.0,-2.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_min,0.011208182,0.022083612,51.0,38.0,-13.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_max,0.004390429,0.007258497,88.0,77.0,-11.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_std,0.010735789,0.011164057,54.0,61.0,7.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_first,0.020336766,0.03823345,37.0,22.0,-15.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_last,0.0035259435,0.0037660315,92.0,99.0,7.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,rr_n,0.07793345,0.15800466,12.0,7.0,-5.0,0.9722196597303672
